0.0553333	-0.0165812	3.11753	-0.563775	-0.796308	-40	
0.056	-0.0169721	3.11697	-0.570341	-0.805416	-40	
0.0566667	-0.0173672	3.11641	-0.576899	-0.814508	-40	
0.0573333	-0.0177667	3.11584	-0.583449	-0.823583	-40	
0.058	-0.0181704	3.11526	-0.589991	-0.83264	-40	
0.0586667	-0.0185784	3.11468	-0.596525	-0.841681	-40	
0.0593333	-0.0189906	3.11409	-0.603051	-0.850705	-40	
0.06	-0.0194071	3.1135	-0.609568	-0.859712	-40	
0.0606667	-0.0198278	3.1129	-0.616077	-0.868701	-40	
0.0613333	-0.0202527	3.11229	-0.622577	-0.877672	-40	
0.062	-0.0206818	3.11168	-0.629068	-0.886626	-40	
0.0626667	-0.0211152	3.11106	-0.635551	-0.895561	-40	
0.0633333	-0.0215527	3.11044	-0.642025	-0.904478	-40	
0.064	-0.0219944	3.10981	-0.64849	-0.913377	-40	
0.0646667	-0.0224402	3.10918	-0.654946	-0.922258	-40	
0.0653333	-0.0228903	3.10854	-0.661393	-0.931119	-40	
0.066	-0.0233445	3.1079	-0.667831	-0.939962	-40	
0.0666667	-0.0238028	3.10724	-0.67426	-0.948786	-40	
0.0673333	-0.0242652	3.10659	-0.680679	-0.95759	-40	
0.068	-0.0247318	3.10593	-0.687089	-0.966375	-40	
0.0686667	-0.0252025	3.10526	-0.693489	-0.975141	-40	
0.0693333	-0.0256773	3.10459	-0.69988	-0.983887	-40	
0.07	-0.0261562	3.10391	-0.706261	-0.992613	-40	
0.0706667	-0.0266392	3.10322	-0.712632	-1.00132	-40	
0.0713333	-0.0271263	3.10253	-0.718994	-1.01	-40	
0.072	-0.0276174	3.10184	-0.725345	-1.01867	-40	
0.0726667	-0.0281126	3.10114	-0.731686	-1.02731	-40	
0.0733333	-0.0286118	3.10043	-0.738017	-1.03594	-40	
0.074	-0.0291151	3.09972	-0.744338	-1.04454	-40	
0.0746667	-0.0296224	3.099	-0.750649	-1.05312	-40	
0.0753333	-0.0301338	3.09828	-0.756949	-1.06168	-40	
0.076	-0.0306491	3.09756	-0.763238	-1.07022	-40	
0.0766667	-0.0311685	3.09682	-0.769517	-1.07874	-40	
0.0773333	-0.0316918	3.09609	-0.775786	-1.08723	-40	
0.078	-0.0322191	3.09534	-0.782043	-1.09571	-40	
