# {"t_start": 1551044220.731029, "env_id": "MyBulletCartPole-v0"} 
r,l,t
18.0,18,1.160166
18.0,18,1.175352
20.0,20,1.194374
13.0,13,1.207633
96.0,96,1.292625
16.0,16,1.306393
18.0,18,1.323789
25.0,25,1.344751
9.0,9,1.353798
13.0,13,1.365461
41.0,41,1.401895
16.0,16,1.416447
11.0,11,1.426775
36.0,36,1.456543
21.0,21,1.475195
9.0,9,1.483457
19.0,19,1.5009
19.0,19,1.517525
23.0,23,1.537108
26.0,26,1.559808
8.0,8,1.566677
16.0,16,1.581275
9.0,9,1.589661
17.0,17,1.604699
27.0,27,1.628762
9.0,9,1.638121
11.0,11,1.64725
19.0,19,1.664666
23.0,23,1.684335
31.0,31,1.710376
16.0,16,1.726056
15.0,15,1.73887
22.0,22,1.758745
58.0,58,1.80888
22.0,22,1.829404
26.0,26,1.853177
41.0,41,1.888007
11.0,11,1.898784
12.0,12,1.910233
27.0,27,1.934193
12.0,12,1.945615
16.0,16,1.960088
27.0,27,1.982501
21.0,21,2.001653
15.0,15,2.015018
26.0,26,2.038787
11.0,11,2.048688
40.0,40,2.083838
36.0,36,2.11404
13.0,13,2.125674
29.0,29,2.150798
14.0,14,2.161709
19.0,19,2.179072
12.0,12,2.189382
14.0,14,2.201473
16.0,16,2.215819
19.0,19,2.23224
28.0,28,2.257503
19.0,19,2.274867
37.0,37,2.30804
27.0,27,2.332436
29.0,29,2.360644
18.0,18,2.377433
19.0,19,2.395984
28.0,28,2.419818
25.0,25,2.443348
11.0,11,2.452527
34.0,34,2.482667
44.0,44,2.519189
14.0,14,2.532112
83.0,83,2.601854
30.0,30,2.628243
16.0,16,2.642443
17.0,17,2.657866
14.0,14,2.669733
8.0,8,2.676472
22.0,22,2.697688
13.0,13,2.70911
10.0,10,2.718351
12.0,12,2.72948
17.0,17,2.745832
25.0,25,2.767856
15.0,15,2.782253
9.0,9,2.79067
21.0,21,2.810015
20.0,20,2.8272
39.0,39,2.860934
36.0,36,2.891544
34.0,34,2.920238
22.0,22,2.941159
33.0,33,3.201794
13.0,13,3.215628
15.0,15,3.227738
30.0,30,3.25527
13.0,13,3.268159
16.0,16,3.282671
28.0,28,3.3067
15.0,15,3.32041
13.0,13,3.331721
49.0,49,3.374427
17.0,17,3.390695
10.0,10,3.399086
19.0,19,3.415984
13.0,13,3.426175
44.0,44,3.46476
19.0,19,3.480717
17.0,17,3.497536
23.0,23,3.516953
81.0,81,3.585422
8.0,8,3.59422
8.0,8,3.602227
15.0,15,3.616261
13.0,13,3.627497
31.0,31,3.654722
33.0,33,3.683713
12.0,12,3.69459
15.0,15,3.708035
25.0,25,3.730545
9.0,9,3.738073
67.0,67,3.793702
13.0,13,3.806419
24.0,24,3.827413
19.0,19,3.844737
23.0,23,3.864038
24.0,24,3.886178
28.0,28,3.91072
23.0,23,3.932105
22.0,22,3.951598
9.0,9,3.960893
27.0,27,3.984605
20.0,20,4.003252
23.0,23,4.02256
21.0,21,4.04066
18.0,18,4.056306
17.0,17,4.072101
43.0,43,4.108523
26.0,26,4.132475
26.0,26,4.15332
21.0,21,4.171935
28.0,28,4.1972
17.0,17,4.212466
12.0,12,4.223245
10.0,10,4.232755
27.0,27,4.256919
34.0,34,4.286985
20.0,20,4.305345
13.0,13,4.316557
8.0,8,4.323334
20.0,20,4.341425
27.0,27,4.365457
51.0,51,4.41033
