# {"t_start": 1551044220.717452, "env_id": "MyBulletCartPole-v0"} 
r,l,t
46.0,46,140.496574
66.0,66,140.547864
63.0,63,140.596475
74.0,74,140.653389
87.0,87,140.720057
84.0,84,140.93562
104.0,104,141.015579
69.0,69,141.068357
166.0,166,141.197603
90.0,90,141.266167
84.0,84,141.331779
69.0,69,141.38481
200.0,200,141.539478
83.0,83,141.603301
164.0,164,141.731884
57.0,57,141.776147
90.0,90,141.845784
54.0,54,141.887224
109.0,109,141.971496
95.0,95,142.043757
56.0,56,142.088888
87.0,87,142.155181
153.0,153,142.273248
62.0,62,142.321769
116.0,116,142.411392
66.0,66,142.463388
80.0,80,142.678508
115.0,115,142.76776
69.0,69,142.821164
87.0,87,142.888726
68.0,68,142.941222
82.0,82,143.004814
124.0,124,143.099938
117.0,117,143.192161
61.0,61,143.240621
98.0,98,143.316589
109.0,109,143.400031
68.0,68,143.453897
69.0,69,143.505745
97.0,97,143.579879
76.0,76,143.639447
56.0,56,143.683198
79.0,79,143.742052
71.0,71,143.798456
67.0,67,143.851484
63.0,63,143.901904
99.0,99,143.979116
105.0,105,144.058376
70.0,70,144.112099
64.0,64,144.162997
95.0,95,144.388493
77.0,77,144.449107
67.0,67,144.502611
123.0,123,144.594701
140.0,140,144.702737
70.0,70,144.756047
66.0,66,144.807404
86.0,86,144.874717
168.0,168,145.007498
52.0,52,145.047784
148.0,148,145.162439
49.0,49,145.200106
169.0,169,145.32917
63.0,63,145.379
86.0,86,145.445964
96.0,96,145.52068
86.0,86,145.586565
78.0,78,145.64577
200.0,200,145.799959
64.0,64,145.849182
54.0,54,145.894426
97.0,97,146.125325
169.0,169,146.256879
163.0,163,146.383078
60.0,60,146.430423
91.0,91,146.501126
57.0,57,146.546316
67.0,67,146.598567
77.0,77,146.65699
98.0,98,146.733386
84.0,84,146.798887
74.0,74,146.857544
84.0,84,146.922975
74.0,74,146.978091
114.0,114,147.065824
54.0,54,147.109334
54.0,54,147.151653
115.0,115,147.241331
101.0,101,147.333664
30.0,30,147.373194
71.0,71,147.426816
61.0,61,147.474521
90.0,90,147.543069
56.0,56,147.58823
110.0,110,147.674834
77.0,77,147.885758
82.0,82,147.949519
84.0,84,148.016628
53.0,53,148.057229
65.0,65,148.110144
73.0,73,148.166701
71.0,71,148.221752
72.0,72,148.277235
109.0,109,148.361487
49.0,49,148.401143
136.0,136,148.504974
73.0,73,148.562259
74.0,74,148.619257
91.0,91,148.68881
92.0,92,148.759338
70.0,70,148.814613
52.0,52,148.854739
73.0,73,148.911609
110.0,110,148.996548
64.0,64,149.047905
108.0,108,149.128532
112.0,112,149.213805
61.0,61,149.261272
87.0,87,149.328737
78.0,78,149.389862
103.0,103,149.621762
49.0,49,149.664285
119.0,119,149.755519
70.0,70,149.810891
62.0,62,149.858929
54.0,54,149.900451
98.0,98,149.97656
67.0,67,150.029224
64.0,64,150.081208
84.0,84,150.145673
76.0,76,150.205765
72.0,72,150.26134
56.0,56,150.30506
80.0,80,150.367942
137.0,137,150.472539
69.0,69,150.527085
76.0,76,150.584905
87.0,87,150.653714
83.0,83,150.718593
74.0,74,150.775522
127.0,127,150.874355
68.0,68,150.927301
70.0,70,150.982952
77.0,77,151.041231
191.0,191,151.188997
75.0,75,151.401253
88.0,88,151.470392
72.0,72,151.525407
95.0,95,151.599388
67.0,67,151.651172
81.0,81,151.715869
74.0,74,151.772652
63.0,63,151.818735
76.0,76,151.879716
58.0,58,151.926626
44.0,44,151.960783
84.0,84,152.025164
95.0,95,152.100375
94.0,94,152.172747
76.0,76,152.231742
84.0,84,152.29808
109.0,109,152.38213
137.0,137,152.485842
57.0,57,152.531594
106.0,106,152.613471
62.0,62,152.661355
133.0,133,152.765145
111.0,111,152.84841
104.0,104,152.930923
119.0,119,153.178098
97.0,97,153.249725
61.0,61,153.296606
68.0,68,153.349344
66.0,66,153.398704
138.0,138,153.506476
55.0,55,153.549312
97.0,97,153.623248
132.0,132,153.721582
107.0,107,153.803039
88.0,88,153.870824
103.0,103,153.951308
56.0,56,153.995844
63.0,63,154.045648
66.0,66,154.095858
56.0,56,154.139192
56.0,56,154.184285
58.0,58,154.228776
171.0,171,154.361207
60.0,60,154.407474
68.0,68,154.459742
87.0,87,154.527834
82.0,82,154.58936
135.0,135,154.846256
63.0,63,154.898088
76.0,76,154.956024
88.0,88,155.025106
51.0,51,155.066297
96.0,96,155.140183
80.0,80,155.202045
59.0,59,155.24959
74.0,74,155.30621
99.0,99,155.383599
178.0,178,155.548647
64.0,64,155.598506
62.0,62,155.647514
76.0,76,155.705333
53.0,53,155.747425
57.0,57,155.791428
80.0,80,155.853481
73.0,73,155.911454
92.0,92,155.982063
84.0,84,156.047315
109.0,109,156.132408
62.0,62,156.180853
76.0,76,156.240127
101.0,101,156.3161
78.0,78,156.377219
67.0,67,156.428954
89.0,89,156.653432
68.0,68,156.705693
136.0,136,156.810269
151.0,151,156.926048
119.0,119,157.017826
71.0,71,157.071349
91.0,91,157.140807
76.0,76,157.200331
44.0,44,157.235024
76.0,76,157.293565
90.0,90,157.363712
100.0,100,157.443425
54.0,54,157.485472
118.0,118,157.577106
51.0,51,157.617011
65.0,65,157.668268
200.0,200,157.820348
55.0,55,157.860806
175.0,175,157.994889
73.0,73,158.051698
57.0,57,158.096288
80.0,80,158.159501
116.0,116,158.401731
104.0,104,158.481231
78.0,78,158.541378
93.0,93,158.6132
63.0,63,158.661369
68.0,68,158.714797
70.0,70,158.767798
59.0,59,158.813818
50.0,50,158.853051
67.0,67,158.905218
64.0,64,158.95386
79.0,79,159.014167
83.0,83,159.079668
66.0,66,159.129893
66.0,66,159.181854
62.0,62,159.230665
109.0,109,159.314713
71.0,71,159.368312
70.0,70,159.42368
93.0,93,159.495476
58.0,58,159.540726
50.0,50,159.579454
68.0,68,159.633017
66.0,66,159.683861
86.0,86,159.750044
119.0,119,159.841869
80.0,80,159.902559
63.0,63,160.109125
87.0,87,160.177278
134.0,134,160.279447
200.0,200,160.433459
81.0,81,160.496942
101.0,101,160.572623
83.0,83,160.637254
62.0,62,160.684964
66.0,66,160.736951
69.0,69,160.790902
82.0,82,160.853109
117.0,117,160.943932
68.0,68,160.996987
82.0,82,161.060791
65.0,65,161.112282
61.0,61,161.159674
63.0,63,161.208296
125.0,125,161.304736
129.0,129,161.405943
79.0,79,161.466617
92.0,92,161.536538
115.0,115,161.626169
124.0,124,161.873324
48.0,48,161.912032
61.0,61,161.957764
85.0,85,162.023075
63.0,63,162.072205
162.0,162,162.196314
100.0,100,162.275299
103.0,103,162.355535
110.0,110,162.441148
166.0,166,162.570292
84.0,84,162.635468
68.0,68,162.688688
90.0,90,162.758428
64.0,64,162.808007
55.0,55,162.851484
70.0,70,162.905588
62.0,62,162.954865
71.0,71,163.009206
143.0,143,163.119513
93.0,93,163.191467
67.0,67,163.244077
76.0,76,163.303421
70.0,70,163.35814
148.0,148,163.624754
83.0,83,163.69011
49.0,49,163.727127
112.0,112,163.814807
83.0,83,163.879926
78.0,78,163.939763
111.0,111,164.024683
98.0,98,164.100793
157.0,157,164.221418
84.0,84,164.285537
67.0,67,164.337451
200.0,200,164.493513
71.0,71,164.547911
142.0,142,164.659301
69.0,69,164.711979
58.0,58,164.756598
128.0,128,164.858643
128.0,128,164.956784
98.0,98,165.029382
68.0,68,165.083466
88.0,88,165.151195
58.0,58,165.34817
160.0,160,165.469098
127.0,127,165.570079
79.0,79,165.630962
74.0,74,165.68999
66.0,66,165.740628
105.0,105,165.822859
126.0,126,165.920902
74.0,74,165.978745
77.0,77,166.038373
81.0,81,166.101271
137.0,137,166.207764
75.0,75,166.266821
87.0,87,166.333729
78.0,78,166.395616
59.0,59,166.441918
200.0,200,166.594206
62.0,62,166.642667
78.0,78,166.700675
96.0,96,166.774799
96.0,96,166.849863
59.0,59,166.896293
164.0,164,167.174706
76.0,76,167.229909
193.0,193,167.378008
81.0,81,167.441012
80.0,80,167.502677
60.0,60,167.550641
83.0,83,167.614756
57.0,57,167.659817
91.0,91,167.730222
86.0,86,167.798259
66.0,66,167.851131
58.0,58,167.897211
63.0,63,167.944846
123.0,123,168.040268
72.0,72,168.096321
88.0,88,168.162064
69.0,69,168.215755
110.0,110,168.300423
167.0,167,168.428465
61.0,61,168.477247
99.0,99,168.553286
69.0,69,168.607217
54.0,54,168.803473
70.0,70,168.858508
73.0,73,168.914619
56.0,56,168.958987
74.0,74,169.015721
96.0,96,169.090696
66.0,66,169.142151
80.0,80,169.20303
90.0,90,169.273656
93.0,93,169.346214
106.0,106,169.426848
109.0,109,169.509252
60.0,60,169.557199
82.0,82,169.621525
135.0,135,169.726257
91.0,91,169.794264
72.0,72,169.85042
60.0,60,169.898386
78.0,78,169.9598
84.0,84,170.023387
114.0,114,170.111652
89.0,89,170.181758
115.0,115,170.269681
96.0,96,170.34347
62.0,62,170.543662
62.0,62,170.591785
51.0,51,170.631374
72.0,72,170.689888
101.0,101,170.767984
69.0,69,170.818814
86.0,86,170.886262
92.0,92,170.955883
84.0,84,171.021319
127.0,127,171.118856
85.0,85,171.185189
82.0,82,171.247694
93.0,93,171.320466
88.0,88,171.389947
77.0,77,171.450587
82.0,82,171.514776
73.0,73,171.571442
106.0,106,171.654687
64.0,64,171.703476
136.0,136,171.806937
57.0,57,171.850975
98.0,98,171.927097
86.0,86,171.992909
92.0,92,172.065728
60.0,60,172.112972
177.0,177,172.400619
89.0,89,172.467045
62.0,62,172.516497
169.0,169,172.645593
61.0,61,172.693201
72.0,72,172.748479
56.0,56,172.793545
75.0,75,172.852005
64.0,64,172.901797
56.0,56,172.94493
79.0,79,173.007073
80.0,80,173.067761
72.0,72,173.12205
107.0,107,173.20634
99.0,99,173.280932
107.0,107,173.364206
76.0,76,173.422043
125.0,125,173.519169
63.0,63,173.568464
54.0,54,173.610486
110.0,110,173.694548
58.0,58,173.738071
63.0,63,173.787238
165.0,165,174.068327
64.0,64,174.11796
98.0,98,174.195507
63.0,63,174.245026
77.0,77,174.304001
93.0,93,174.37519
131.0,131,174.476166
117.0,117,174.56552
60.0,60,174.612021
69.0,69,174.665281
92.0,92,174.737406
51.0,51,174.777687
94.0,94,174.8515
159.0,159,174.97512
154.0,154,175.095405
97.0,97,175.171157
66.0,66,175.222981
65.0,65,175.27342
94.0,94,175.346983
69.0,69,175.399965
67.0,67,175.452458
128.0,128,175.549411
102.0,102,175.779184
78.0,78,175.840656
101.0,101,175.919944
71.0,71,175.975216
64.0,64,176.024591
99.0,99,176.100582
59.0,59,176.146808
104.0,104,176.228186
105.0,105,176.308963
63.0,63,176.356607
130.0,130,176.455955
79.0,79,176.518617
61.0,61,176.565669
99.0,99,176.63952
94.0,94,176.713379
79.0,79,176.775098
67.0,67,176.826256
130.0,130,176.92702
96.0,96,177.001085
167.0,167,177.130163
71.0,71,177.185121
73.0,73,177.242815
75.0,75,177.313372
91.0,91,177.54016
113.0,113,177.628269
54.0,54,177.670274
141.0,141,177.780255
137.0,137,177.884287
59.0,59,177.931209
60.0,60,177.977874
143.0,143,178.08823
117.0,117,178.176884
124.0,124,178.272993
63.0,63,178.322119
87.0,87,178.388452
144.0,144,178.500453
78.0,78,178.561117
63.0,63,178.610484
67.0,67,178.662966
130.0,130,178.765471
98.0,98,178.839569
99.0,99,178.917209
70.0,70,178.971447
142.0,142,179.239323
71.0,71,179.296365
91.0,91,179.366871
111.0,111,179.45324
132.0,132,179.556237
192.0,192,179.704464
151.0,151,179.823244
154.0,154,179.939458
92.0,92,180.010692
56.0,56,180.054033
82.0,82,180.118497
92.0,92,180.18936
76.0,76,180.24898
63.0,63,180.298138
127.0,127,180.394845
64.0,64,180.446038
177.0,177,180.580943
69.0,69,180.633239
92.0,92,180.703984
60.0,60,180.751354
144.0,144,181.014261
65.0,65,181.065594
83.0,83,181.129145
200.0,200,181.284437
73.0,73,181.341856
51.0,51,181.382536
64.0,64,181.432753
74.0,74,181.48944
66.0,66,181.541465
72.0,72,181.598886
63.0,63,181.647264
96.0,96,181.722516
68.0,68,181.775495
99.0,99,181.851081
56.0,56,181.894659
71.0,71,181.949423
61.0,61,181.998534
125.0,125,182.094881
143.0,143,182.205774
130.0,130,182.30499
58.0,58,182.350403
89.0,89,182.420342
141.0,141,182.530274
70.0,70,182.738814
126.0,126,182.847994
128.0,128,182.959854
85.0,85,183.026991
72.0,72,183.089868
200.0,200,183.258499
68.0,68,183.312002
74.0,74,183.368238
84.0,84,183.433932
82.0,82,183.497407
60.0,60,183.545191
67.0,67,183.597031
101.0,101,183.674671
200.0,200,183.827526
184.0,184,183.969324
178.0,178,184.106649
65.0,65,184.15811
79.0,79,184.221078
69.0,69,184.274708
76.0,76,184.331922
183.0,183,184.626922
76.0,76,184.685435
73.0,73,184.741298
80.0,80,184.80537
85.0,85,184.872596
79.0,79,184.932982
112.0,112,185.020985
64.0,64,185.069956
57.0,57,185.114684
172.0,172,185.247464
109.0,109,185.333613
46.0,46,185.368917
80.0,80,185.431096
111.0,111,185.516761
121.0,121,185.610213
63.0,63,185.658293
69.0,69,185.711848
91.0,91,185.781271
94.0,94,185.858898
79.0,79,185.921012
94.0,94,185.997231
80.0,80,186.061019
61.0,61,186.11203
89.0,89,186.347679
113.0,113,186.434861
132.0,132,186.538235
122.0,122,186.631803
64.0,64,186.682944
52.0,52,186.723881
58.0,58,186.768714
80.0,80,186.830528
189.0,189,186.977041
141.0,141,187.084789
83.0,83,187.150252
69.0,69,187.204045
73.0,73,187.259879
111.0,111,187.348152
69.0,69,187.402288
67.0,67,187.454369
61.0,61,187.503576
86.0,86,187.570305
97.0,97,187.64534
161.0,161,187.770668
78.0,78,187.832191
118.0,118,188.074567
70.0,70,188.129977
62.0,62,188.177606
69.0,69,188.23196
72.0,72,188.288552
54.0,54,188.330855
55.0,55,188.373464
85.0,85,188.439136
75.0,75,188.498085
57.0,57,188.541864
69.0,69,188.595452
151.0,151,188.711011
78.0,78,188.770822
64.0,64,188.821569
65.0,65,188.870851
88.0,88,188.939653
77.0,77,188.998708
138.0,138,189.103743
117.0,117,189.194787
63.0,63,189.243909
90.0,90,189.312501
77.0,77,189.373024
61.0,61,189.421215
92.0,92,189.49332
63.0,63,189.54241
125.0,125,189.790586
62.0,62,189.837698
113.0,113,189.925608
166.0,166,190.053857
103.0,103,190.133427
131.0,131,190.234405
78.0,78,190.294959
64.0,64,190.345123
82.0,82,190.409598
47.0,47,190.44563
110.0,110,190.530561
83.0,83,190.594093
86.0,86,190.661474
75.0,75,190.719648
66.0,66,190.770839
111.0,111,190.856644
117.0,117,190.949369
92.0,92,191.020631
92.0,92,191.091274
53.0,53,191.133456
124.0,124,191.229899
76.0,76,191.289387
91.0,91,191.510819
64.0,64,191.56267
77.0,77,191.622052
60.0,60,191.668225
62.0,62,191.714686
56.0,56,191.757939
113.0,113,191.847643
48.0,48,191.885175
144.0,144,191.996792
68.0,68,192.048724
63.0,63,192.099042
83.0,83,192.16525
123.0,123,192.259241
121.0,121,192.352888
54.0,54,192.396757
81.0,81,192.459058
141.0,141,192.568866
70.0,70,192.624458
45.0,45,192.658924
50.0,50,192.698543
73.0,73,192.755501
58.0,58,192.801185
74.0,74,192.85961
90.0,90,192.92889
74.0,74,192.985952
72.0,72,193.03989
86.0,86,193.260849
67.0,67,193.314108
72.0,72,193.370676
63.0,63,193.42094
67.0,67,193.472678
50.0,50,193.512794
66.0,66,193.564154
86.0,86,193.630345
126.0,126,193.728464
166.0,166,193.856695
126.0,126,193.954765
110.0,110,194.041162
108.0,108,194.125026
75.0,75,194.185417
79.0,79,194.248191
81.0,81,194.312011
66.0,66,194.363139
67.0,67,194.413214
85.0,85,194.481553
127.0,127,194.581975
88.0,88,194.649866
66.0,66,194.701558
108.0,108,194.784566
93.0,93,195.005613
75.0,75,195.067126
106.0,106,195.148838
56.0,56,195.194079
185.0,185,195.337053
163.0,163,195.461879
95.0,95,195.536622
54.0,54,195.578785
200.0,200,195.732224
80.0,80,195.795205
83.0,83,195.858354
89.0,89,195.926809
61.0,61,195.974695
64.0,64,196.023996
200.0,200,196.176352
77.0,77,196.236432
69.0,69,196.289432
200.0,200,196.445336
108.0,108,196.529376
67.0,67,196.581629
131.0,131,196.84302
105.0,105,196.924924
80.0,80,196.987538
74.0,74,197.046359
80.0,80,197.108274
72.0,72,197.16504
66.0,66,197.216402
108.0,108,197.300601
117.0,117,197.393143
113.0,113,197.481939
71.0,71,197.53604
107.0,107,197.622319
87.0,87,197.689533
72.0,72,197.744055
73.0,73,197.80084
136.0,136,197.903218
69.0,69,197.957898
143.0,143,198.069753
91.0,91,198.138783
77.0,77,198.197768
86.0,86,198.267227
80.0,80,198.329731
110.0,110,198.571056
67.0,67,198.622643
140.0,140,198.73228
124.0,124,198.828686
87.0,87,198.896548
80.0,80,198.957754
89.0,89,199.02803
71.0,71,199.082684
67.0,67,199.133804
151.0,151,199.246245
181.0,181,199.3864
66.0,66,199.438975
74.0,74,199.495913
98.0,98,199.572248
115.0,115,199.660082
82.0,82,199.724331
99.0,99,199.801581
79.0,79,199.862911
66.0,66,199.91432
81.0,81,199.975765
53.0,53,200.014991
81.0,81,200.078103
128.0,128,200.329596
88.0,88,200.39962
72.0,72,200.455165
75.0,75,200.514012
60.0,60,200.561538
68.0,68,200.61643
200.0,200,200.767993
173.0,173,200.903001
124.0,124,200.997975
74.0,74,201.056471
77.0,77,201.115975
82.0,82,201.180662
112.0,112,201.267936
53.0,53,201.308669
60.0,60,201.356466
67.0,67,201.408461
71.0,71,201.462919
56.0,56,201.507155
50.0,50,201.54733
82.0,82,201.610037
89.0,89,201.679343
167.0,167,201.806581
83.0,83,202.023055
113.0,113,202.111822
98.0,98,202.18953
74.0,74,202.247405
200.0,200,202.402535
66.0,66,202.454209
115.0,115,202.543608
69.0,69,202.596489
133.0,133,202.69739
122.0,122,202.793124
59.0,59,202.838078
99.0,99,202.915793
180.0,180,203.054502
59.0,59,203.099688
143.0,143,203.209535
84.0,84,203.272275
83.0,83,203.336066
64.0,64,203.387098
165.0,165,203.515896
131.0,131,203.768826
88.0,88,203.83609
120.0,120,203.929045
62.0,62,203.976705
200.0,200,204.129891
69.0,69,204.182486
113.0,113,204.268831
57.0,57,204.313959
193.0,193,204.462242
72.0,72,204.519116
88.0,88,204.587279
62.0,62,204.635745
147.0,147,204.748804
81.0,81,204.812046
145.0,145,204.921109
61.0,61,204.968316
64.0,64,205.018206
80.0,80,205.081913
122.0,122,205.178339
90.0,90,205.248123
79.0,79,205.465606
89.0,89,205.536654
78.0,78,205.597788
115.0,115,205.68868
64.0,64,205.739919
64.0,64,205.789966
94.0,94,205.863085
120.0,120,205.957051
102.0,102,206.036519
92.0,92,206.109951
84.0,84,206.175367
92.0,92,206.247563
85.0,85,206.313207
86.0,86,206.380153
162.0,162,206.505082
186.0,186,206.649985
59.0,59,206.694805
55.0,55,206.736723
95.0,95,206.810316
75.0,75,206.868564
83.0,83,206.933867
73.0,73,206.990209
89.0,89,207.212296
109.0,109,207.303741
200.0,200,207.462378
77.0,77,207.521355
70.0,70,207.576737
83.0,83,207.640637
57.0,57,207.686253
200.0,200,207.838308
81.0,81,207.900567
163.0,163,208.027928
76.0,76,208.087967
81.0,81,208.151624
109.0,109,208.234726
128.0,128,208.331119
50.0,50,208.367851
62.0,62,208.4168
59.0,59,208.463334
53.0,53,208.504737
79.0,79,208.565499
116.0,116,208.656752
134.0,134,208.760323
65.0,65,208.962954
90.0,90,209.035246
59.0,59,209.081556
114.0,114,209.169416
87.0,87,209.236931
200.0,200,209.390307
58.0,58,209.435869
119.0,119,209.529171
71.0,71,209.585607
59.0,59,209.629861
71.0,71,209.685141
87.0,87,209.752952
92.0,92,209.823547
55.0,55,209.86706
70.0,70,209.920649
77.0,77,209.980336
145.0,145,210.094142
51.0,51,210.134357
119.0,119,210.226367
91.0,91,210.29587
164.0,164,210.42115
137.0,137,210.528804
72.0,72,210.737595
60.0,60,210.786514
58.0,58,210.831753
57.0,57,210.875712
67.0,67,210.929006
49.0,49,210.967023
93.0,93,211.038969
105.0,105,211.120113
90.0,90,211.189341
130.0,130,211.291523
88.0,88,211.360455
96.0,96,211.433871
74.0,74,211.490134
77.0,77,211.549742
58.0,58,211.595396
51.0,51,211.635512
105.0,105,211.714102
77.0,77,211.77375
84.0,84,211.839358
200.0,200,211.993718
74.0,74,212.051448
87.0,87,212.119571
84.0,84,212.183097
80.0,80,212.245881
72.0,72,212.452239
76.0,76,212.513947
59.0,59,212.56198
120.0,120,212.654406
98.0,98,212.730196
94.0,94,212.803924
83.0,83,212.869296
188.0,188,213.013392
87.0,87,213.078843
63.0,63,213.129673
71.0,71,213.1833
184.0,184,213.324455
162.0,162,213.451012
94.0,94,213.522187
75.0,75,213.579756
200.0,200,213.735574
87.0,87,213.802802
54.0,54,213.844084
70.0,70,213.898507
67.0,67,213.951144
75.0,75,214.010335
107.0,107,214.244007
98.0,98,214.320572
116.0,116,214.411462
66.0,66,214.464408
132.0,132,214.564686
74.0,74,214.621638
68.0,68,214.672076
72.0,72,214.728132
140.0,140,214.837773
110.0,110,214.921362
78.0,78,214.981994
59.0,59,215.029569
64.0,64,215.081495
73.0,73,215.138392
72.0,72,215.195537
128.0,128,215.294061
100.0,100,215.370651
122.0,122,215.465577
75.0,75,215.522449
91.0,91,215.595186
67.0,67,215.646398
178.0,178,215.934565
85.0,85,216.00691
71.0,71,216.062652
108.0,108,216.145916
72.0,72,216.20312
87.0,87,216.270642
79.0,79,216.332515
67.0,67,216.385384
58.0,58,216.431298
68.0,68,216.483536
96.0,96,216.558335
71.0,71,216.613633
67.0,67,216.665374
183.0,183,216.807407
63.0,63,216.857912
85.0,85,216.922466
84.0,84,216.986756
91.0,91,217.055449
74.0,74,217.113337
61.0,61,217.160104
53.0,53,217.200728
92.0,92,217.271671
131.0,131,217.372658
103.0,103,217.452953
120.0,120,217.695954
134.0,134,217.800699
88.0,88,217.869048
95.0,95,217.943468
71.0,71,217.996351
46.0,46,218.032576
86.0,86,218.100577
98.0,98,218.175714
200.0,200,218.329499
100.0,100,218.407262
68.0,68,218.459917
68.0,68,218.511868
179.0,179,218.647098
118.0,118,218.738897
127.0,127,218.836876
136.0,136,218.94227
66.0,66,218.9928
60.0,60,219.040086
103.0,103,219.119511
100.0,100,219.19802
60.0,60,219.245081
64.0,64,219.444305
150.0,150,219.559091
60.0,60,219.606771
200.0,200,219.76267
134.0,134,219.865267
88.0,88,219.934558
94.0,94,220.007285
127.0,127,220.106544
73.0,73,220.163314
142.0,142,220.273102
108.0,108,220.357279
147.0,147,220.470761
98.0,98,220.545297
85.0,85,220.611352
115.0,115,220.699635
106.0,106,220.779453
61.0,61,220.827426
124.0,124,220.922119
45.0,45,220.957545
94.0,94,221.18523
164.0,164,221.309396
133.0,133,221.412259
67.0,67,221.464598
101.0,101,221.542995
117.0,117,221.634406
59.0,59,221.680631
84.0,84,221.743619
60.0,60,221.791011
56.0,56,221.834923
87.0,87,221.901456
110.0,110,221.984932
133.0,133,222.087888
120.0,120,222.179569
58.0,58,222.224594
200.0,200,222.379096
75.0,75,222.436828
121.0,121,222.529215
128.0,128,222.626586
79.0,79,222.687842
103.0,103,222.920923
161.0,161,223.04323
90.0,90,223.11317
142.0,142,223.224006
198.0,198,223.373202
53.0,53,223.413953
67.0,67,223.465414
102.0,102,223.544723
66.0,66,223.594969
60.0,60,223.642513
63.0,63,223.690761
102.0,102,223.770205
93.0,93,223.842353
80.0,80,223.904937
165.0,165,224.032232
106.0,106,224.113878
72.0,72,224.170801
101.0,101,224.24944
90.0,90,224.318412
110.0,110,224.402998
186.0,186,224.699812
149.0,149,224.815115
64.0,64,224.865191
198.0,198,225.016631
63.0,63,225.06621
117.0,117,225.157179
60.0,60,225.204089
58.0,58,225.248176
110.0,110,225.332668
77.0,77,225.392374
109.0,109,225.476945
80.0,80,225.537632
65.0,65,225.589122
165.0,165,225.715438
66.0,66,225.766539
68.0,68,225.818425
58.0,58,225.86263
128.0,128,225.962746
200.0,200,226.115232
77.0,77,226.175361
62.0,62,226.378239
200.0,200,226.533858
119.0,119,226.624205
158.0,158,226.744493
68.0,68,226.79898
200.0,200,226.951029
88.0,88,227.019719
112.0,112,227.105727
84.0,84,227.169773
122.0,122,227.263373
75.0,75,227.321941
148.0,148,227.434987
200.0,200,227.588249
81.0,81,227.650419
65.0,65,227.700556
52.0,52,227.741683
72.0,72,227.79692
77.0,77,227.858236
112.0,112,228.100711
71.0,71,228.168363
59.0,59,228.217538
103.0,103,228.300524
160.0,160,228.422293
115.0,115,228.517419
97.0,97,228.592501
87.0,87,228.670939
73.0,73,228.726992
69.0,69,228.780887
69.0,69,228.833851
113.0,113,228.921335
103.0,103,228.997624
101.0,101,229.07445
157.0,157,229.19525
55.0,55,229.23925
172.0,172,229.368903
95.0,95,229.442587
77.0,77,229.504106
99.0,99,229.58145
200.0,200,229.890233
122.0,122,229.984098
108.0,108,230.066808
200.0,200,230.224374
54.0,54,230.268288
154.0,154,230.385134
125.0,125,230.482262
63.0,63,230.530743
74.0,74,230.588054
160.0,160,230.711159
116.0,116,230.800169
64.0,64,230.849096
118.0,118,230.941121
65.0,65,230.991095
72.0,72,231.047458
52.0,52,231.087332
189.0,189,231.234176
125.0,125,231.329729
115.0,115,231.41852
75.0,75,231.628459
173.0,173,231.76257
91.0,91,231.83194
101.0,101,231.911145
121.0,121,232.005571
112.0,112,232.09251
60.0,60,232.145544
116.0,116,232.234175
104.0,104,232.317268
110.0,110,232.404255
193.0,193,232.5487
89.0,89,232.614114
69.0,69,232.669689
188.0,188,232.808569
102.0,102,232.884395
90.0,90,232.95325
66.0,66,233.005362
200.0,200,233.30862
112.0,112,233.399321
66.0,66,233.450467
165.0,165,233.577768
99.0,99,233.653087
77.0,77,233.712
125.0,125,233.80727
77.0,77,233.867586
78.0,78,233.927745
65.0,65,233.976635
72.0,72,234.032256
88.0,88,234.101152
59.0,59,234.147446
64.0,64,234.196988
134.0,134,234.299238
78.0,78,234.359016
178.0,178,234.494793
200.0,200,234.649604
80.0,80,234.711262
91.0,91,234.780381
131.0,131,234.881737
69.0,69,235.086522
68.0,68,235.139837
200.0,200,235.296861
135.0,135,235.401726
65.0,65,235.450428
99.0,99,235.526141
200.0,200,235.680015
63.0,63,235.729505
138.0,138,235.836629
96.0,96,235.91125
74.0,74,235.968933
81.0,81,236.030455
161.0,161,236.152923
120.0,120,236.243324
146.0,146,236.355706
90.0,90,236.425024
81.0,81,236.487297
191.0,191,236.786049
98.0,98,236.859281
66.0,66,236.910063
91.0,91,236.979801
99.0,99,237.056637
89.0,89,237.12548
97.0,97,237.200451
76.0,76,237.261184
200.0,200,237.432801
77.0,77,237.492553
200.0,200,237.644216
75.0,75,237.701299
146.0,146,237.810762
135.0,135,237.914761
64.0,64,237.963843
88.0,88,238.032254
102.0,102,238.110029
152.0,152,238.226229
180.0,180,238.514353
102.0,102,238.595605
70.0,70,238.64969
182.0,182,238.789809
197.0,197,238.941028
77.0,77,239.001269
81.0,81,239.062476
151.0,151,239.179159
64.0,64,239.227936
66.0,66,239.278946
191.0,191,239.423937
62.0,62,239.472074
110.0,110,239.558362
156.0,156,239.677221
102.0,102,239.755366
174.0,174,239.889241
61.0,61,239.936054
108.0,108,240.018732
200.0,200,240.325586
103.0,103,240.4043
200.0,200,240.556363
87.0,87,240.623876
111.0,111,240.709351
87.0,87,240.778842
185.0,185,240.920084
135.0,135,241.024552
200.0,200,241.175247
64.0,64,241.224778
200.0,200,241.377747
76.0,76,241.434422
68.0,68,241.486659
143.0,143,241.596666
179.0,179,241.732806
91.0,91,241.803969
141.0,141,242.065019
200.0,200,242.220335
50.0,50,242.258096
91.0,91,242.328142
147.0,147,242.43963
133.0,133,242.54107
59.0,59,242.588374
