# {"t_start": 1551044220.717452, "env_id": "MyBulletCartPole-v0"} 
r,l,t
36.0,36,7.252233
12.0,12,7.262902
47.0,47,7.301943
15.0,15,7.315454
9.0,9,7.32451
22.0,22,7.34363
30.0,30,7.369944
12.0,12,7.379699
49.0,49,7.420952
23.0,23,7.442405
19.0,19,7.459085
18.0,18,7.474203
26.0,26,7.496505
15.0,15,7.510957
10.0,10,7.519308
30.0,30,7.54469
47.0,47,7.584696
24.0,24,7.605169
15.0,15,7.618925
41.0,41,7.653613
28.0,28,7.677655
28.0,28,7.702498
34.0,34,7.73241
41.0,41,7.766944
28.0,28,7.789879
44.0,44,7.827181
42.0,42,7.863315
11.0,11,7.872462
42.0,42,7.908087
18.0,18,7.922101
13.0,13,7.935002
28.0,28,7.959684
18.0,18,7.974923
30.0,30,8.00058
21.0,21,8.017557
31.0,31,8.043791
29.0,29,8.069731
16.0,16,8.084225
20.0,20,8.102159
27.0,27,8.126411
29.0,29,8.152002
14.0,14,8.164053
16.0,16,8.177431
25.0,25,8.198145
19.0,19,8.214581
23.0,23,8.234474
16.0,16,8.247722
17.0,17,8.263021
15.0,15,8.2765
29.0,29,8.301427
32.0,32,8.328217
25.0,25,8.348618
20.0,20,8.366771
21.0,21,8.383374
21.0,21,8.401742
16.0,16,8.415923
11.0,11,8.425695
27.0,27,8.450606
54.0,54,8.493543
29.0,29,8.517468
10.0,10,8.525787
17.0,17,8.54182
15.0,15,8.55515
14.0,14,8.567997
12.0,12,8.577425
22.0,22,8.598766
21.0,21,8.615359
21.0,21,8.632258
12.0,12,8.64434
13.0,13,8.656284
16.0,16,8.669795
34.0,34,8.700063
61.0,61,8.750042
14.0,14,8.762861
20.0,20,8.778028
48.0,48,8.817284
17.0,17,8.833361
20.0,20,8.851262
14.0,14,8.86282
15.0,15,9.026978
40.0,40,9.063825
19.0,19,9.079744
22.0,22,9.099764
22.0,22,9.11896
23.0,23,9.140282
21.0,21,9.157611
18.0,18,9.173469
23.0,23,9.194203
50.0,50,9.236506
12.0,12,9.246398
56.0,56,9.294116
15.0,15,9.307209
11.0,11,9.318597
16.0,16,9.331913
13.0,13,9.342418
22.0,22,9.361686
49.0,49,9.403567
29.0,29,9.427478
16.0,16,9.441272
44.0,44,9.477056
60.0,60,9.528044
37.0,37,9.558007
12.0,12,9.56844
43.0,43,9.602121
24.0,24,9.623464
21.0,21,9.641555
26.0,26,9.663565
11.0,11,9.6741
43.0,43,9.710599
28.0,28,9.73379
22.0,22,9.75256
26.0,26,9.774582
27.0,27,9.797434
33.0,33,9.825946
17.0,17,9.841957
50.0,50,9.883047
31.0,31,9.908797
29.0,29,9.934631
31.0,31,9.962595
12.0,12,9.973311
12.0,12,9.983925
14.0,14,9.996357
18.0,18,10.012828
13.0,13,10.02605
37.0,37,10.056392
12.0,12,10.067666
23.0,23,10.085958
10.0,10,10.096008
13.0,13,10.106977
23.0,23,10.125651
33.0,33,10.151151
36.0,36,10.181574
18.0,18,10.196842
13.0,13,10.208361
12.0,12,10.219805
16.0,16,10.233456
31.0,31,10.26076
32.0,32,10.28814
9.0,9,10.298133
25.0,25,10.319013
51.0,51,10.362136
42.0,42,10.39662
32.0,32,10.422789
27.0,27,10.444926
19.0,19,10.46245
17.0,17,10.476898
17.0,17,10.492087
13.0,13,10.503326
34.0,34,10.53175
32.0,32,10.55887
14.0,14,10.572516
23.0,23,10.591084
23.0,23,10.611442
9.0,9,10.619063
10.0,10,10.628175
22.0,22,10.646569
16.0,16,10.661058
19.0,19,10.676229
35.0,35,10.706872
20.0,20,10.72353
40.0,40,10.755036
14.0,14,10.767784
39.0,39,10.960827
11.0,11,10.970357
37.0,37,11.002558
15.0,15,11.017138
26.0,26,11.038594
23.0,23,11.058216
15.0,15,11.071011
21.0,21,11.088629
14.0,14,11.100802
39.0,39,11.13341
17.0,17,11.148536
22.0,22,11.167486
46.0,46,11.204595
21.0,21,11.221956
23.0,23,11.24288
24.0,24,11.263734
18.0,18,11.280084
14.0,14,11.291409
20.0,20,11.309531
33.0,33,11.334843
24.0,24,11.355932
54.0,54,11.3998
27.0,27,11.422953
20.0,20,11.439901
22.0,22,11.459226
19.0,19,11.474674
38.0,38,11.505508
61.0,61,11.55621
36.0,36,11.587242
26.0,26,11.609004
29.0,29,11.633844
26.0,26,11.656328
56.0,56,11.702545
87.0,87,11.7745
27.0,27,11.798699
17.0,17,11.813526
23.0,23,11.832568
55.0,55,11.877933
39.0,39,11.908991
16.0,16,11.923256
41.0,41,11.959758
34.0,34,11.987929
26.0,26,12.010251
18.0,18,12.025298
24.0,24,12.046304
57.0,57,12.093746
22.0,22,12.113225
28.0,28,12.138472
41.0,41,12.171936
48.0,48,12.211808
22.0,22,12.230198
30.0,30,12.257504
16.0,16,12.271885
12.0,12,12.282614
35.0,35,12.312126
64.0,64,12.364941
63.0,63,12.415565
29.0,29,12.440259
10.0,10,12.449967
17.0,17,12.464316
30.0,30,12.489714
20.0,20,12.507069
35.0,35,12.538427
60.0,60,12.588437
36.0,36,12.619314
31.0,31,12.645463
47.0,47,12.837214
30.0,30,12.862082
32.0,32,12.890088
26.0,26,12.91044
17.0,17,12.924875
32.0,32,12.952467
50.0,50,12.995501
20.0,20,13.011419
26.0,26,13.033455
22.0,22,13.052513
25.0,25,13.073872
42.0,42,13.111428
64.0,64,13.165024
21.0,21,13.18249
23.0,23,13.20242
54.0,54,13.24677
24.0,24,13.267332
17.0,17,13.280967
25.0,25,13.301545
43.0,43,13.337087
30.0,30,13.361706
19.0,19,13.377105
46.0,46,13.415915
52.0,52,13.458311
11.0,11,13.467488
55.0,55,13.51554
35.0,35,13.544045
13.0,13,13.555408
98.0,98,13.635978
19.0,19,13.65272
42.0,42,13.686546
17.0,17,13.701363
43.0,43,13.737527
31.0,31,13.764085
30.0,30,13.789375
21.0,21,13.805713
72.0,72,13.864615
10.0,10,13.872608
14.0,14,13.884191
46.0,46,13.923591
13.0,13,13.935422
55.0,55,13.981435
34.0,34,14.009887
47.0,47,14.050036
62.0,62,14.098953
51.0,51,14.141887
14.0,14,14.154186
23.0,23,14.172924
21.0,21,14.190811
64.0,64,14.243197
25.0,25,14.265158
33.0,33,14.291861
34.0,34,14.320086
34.0,34,14.348796
27.0,27,14.371432
16.0,16,14.385159
25.0,25,14.405725
30.0,30,14.43046
19.0,19,14.445142
13.0,13,14.455213
44.0,44,14.493086
24.0,24,14.512756
18.0,18,14.678409
71.0,71,14.739166
22.0,22,14.756609
59.0,59,14.805277
27.0,27,14.82775
36.0,36,14.859368
22.0,22,14.878867
45.0,45,14.915075
62.0,62,14.966099
14.0,14,14.978311
30.0,30,15.004202
45.0,45,15.042802
45.0,45,15.079837
35.0,35,15.107721
53.0,53,15.152286
35.0,35,15.180345
65.0,65,15.231444
39.0,39,15.263507
32.0,32,15.291499
58.0,58,15.338904
72.0,72,15.396076
39.0,39,15.428553
41.0,41,15.462447
26.0,26,15.484012
26.0,26,15.505527
64.0,64,15.559422
16.0,16,15.573029
26.0,26,15.59463
38.0,38,15.627155
22.0,22,15.644445
40.0,40,15.67621
28.0,28,15.701264
45.0,45,15.739271
29.0,29,15.764162
41.0,41,15.79656
28.0,28,15.818196
21.0,21,15.836138
22.0,22,15.854947
35.0,35,15.883636
31.0,31,15.909564
69.0,69,15.966641
55.0,55,16.010795
25.0,25,16.03088
28.0,28,16.054381
27.0,27,16.078754
77.0,77,16.142553
11.0,11,16.15136
45.0,45,16.18749
46.0,46,16.226347
72.0,72,16.286506
31.0,31,16.313681
16.0,16,16.327838
15.0,15,16.340349
49.0,49,16.532131
52.0,52,16.576836
20.0,20,16.593958
40.0,40,16.626057
37.0,37,16.656718
42.0,42,16.690816
24.0,24,16.710013
55.0,55,16.754778
63.0,63,16.805871
60.0,60,16.853636
34.0,34,16.881417
39.0,39,16.912838
32.0,32,16.937747
24.0,24,16.957201
71.0,71,17.015448
37.0,37,17.045822
66.0,66,17.09985
64.0,64,17.153097
30.0,30,17.177967
16.0,16,17.192004
29.0,29,17.217155
32.0,32,17.24429
21.0,21,17.261313
38.0,38,17.292841
41.0,41,17.32664
19.0,19,17.341724
62.0,62,17.392824
31.0,31,17.419343
27.0,27,17.441671
61.0,61,17.493743
12.0,12,17.50496
24.0,24,17.524565
34.0,34,17.551711
66.0,66,17.604944
17.0,17,17.619438
31.0,31,17.645902
48.0,48,17.68526
55.0,55,17.729771
38.0,38,17.761971
39.0,39,17.793991
25.0,25,17.81533
140.0,140,17.92805
19.0,19,17.943649
36.0,36,17.973811
77.0,77,18.036794
32.0,32,18.063051
82.0,82,18.129026
22.0,22,18.146717
69.0,69,18.20382
55.0,55,18.403743
49.0,49,18.443291
53.0,53,18.486332
9.0,9,18.494749
28.0,28,18.51695
34.0,34,18.543967
36.0,36,18.573076
35.0,35,18.601163
42.0,42,18.635069
35.0,35,18.663852
25.0,25,18.683844
36.0,36,18.712588
37.0,37,18.74291
11.0,11,18.752754
31.0,31,18.776452
27.0,27,18.800068
43.0,43,18.834584
116.0,116,18.928543
71.0,71,18.986527
78.0,78,19.047668
62.0,62,19.096992
36.0,36,19.127968
34.0,34,19.15473
76.0,76,19.21787
13.0,13,19.228889
53.0,53,19.271008
24.0,24,19.291837
