approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00024287,0.0,20.44,20.44,-0.0027599334716796875,4009,1,0.6929241,-0.0030594594,2048,2.043118715286255,8192,41.98176
0.00031509728,0.0,20.54,20.54,0.0010717511177062988,4155,2,0.69124657,-0.0039568422,4096,4.041073799133301,16384,42.625526
0.00030138978,0.0,23.87,23.87,0.002451956272125244,4251,3,0.6880952,-0.0038146162,6144,5.968493938446045,24576,49.949135
0.00031073828,0.0,26.64,26.64,0.00014513731002807617,4266,4,0.6831947,-0.0037632524,8192,7.8890700340271,32768,50.03767
0.0002736317,0.0,27.19,27.19,0.0030786991119384766,4297,5,0.67793924,-0.003051789,10240,9.79589295387268,40960,53.171974
0.00048857264,3.0517578e-05,28.8,28.8,0.007054507732391357,4331,6,0.6692326,-0.004534726,12288,11.687542915344238,49152,53.736618
0.0004943691,3.0517578e-05,35.96,35.96,0.0040926337242126465,4395,7,0.6595373,-0.0038703457,14336,13.551841020584106,57344,60.11148
0.00035025476,0.0,36.64,36.64,0.005902886390686035,4426,8,0.650947,-0.0029996918,16384,15.403064727783203,65536,62.396885
0.00046423005,0.00021362305,39.12,39.12,0.006722509860992432,4462,9,0.6411737,-0.0029450788,18432,17.239372968673706,73728,65.4234
0.000641374,0.0010375977,45.62,45.62,0.008703172206878662,4523,10,0.6295473,-0.0042223823,20480,19.050880908966064,81920,68.086876
0.0006986037,0.0010986328,52.28,52.28,0.013483524322509766,4549,11,0.6137692,-0.00328029,22528,20.852139949798584,90112,71.67633
0.00045066007,0.00039672852,55.54,55.54,0.01767975091934204,4550,12,0.60725296,-0.0026955837,24576,22.65267300605774,98304,74.14752
0.0005373076,0.00076293945,59.47,59.47,0.009363412857055664,4585,13,0.5893638,-0.0026807776,26624,24.439521074295044,106496,77.626915
0.00041506253,0.0002746582,69.88,69.88,0.02214813232421875,4619,14,0.5838832,-0.0024656178,28672,26.21340584754944,114688,80.24995
0.00061082514,0.0005493164,74.64,74.64,0.019816935062408447,4604,15,0.58710915,-0.0006310039,30720,27.992957830429077,122880,81.229095
0.00013191873,0.0,82.25,82.25,0.01366502046585083,4659,16,0.5803493,-0.00036625107,32768,29.75160813331604,131072,84.792755
0.0006720406,0.001739502,82.03,82.03,0.02275460958480835,4654,17,0.56689125,-0.00023219537,34816,31.51204204559326,139264,83.92502
8.795201e-05,0.0,78.67,78.67,0.027949154376983643,4652,18,0.5668459,-0.00011723745,36864,33.2731568813324,147456,80.16323
2.724687e-05,0.0,82.33,82.33,0.017533600330352783,4635,19,0.5592114,-0.00014453218,38912,35.04071402549744,155648,81.42822
2.9601459e-05,0.0,85.53,85.53,0.024703800678253174,4636,20,0.560748,-3.9771294e-05,40960,36.807965993881226,163840,82.513435
0.0002834282,0.0,81.65,81.65,0.022059500217437744,4309,21,0.54801357,-0.00016117576,43008,38.70930099487305,172032,79.167435
2.861605e-05,0.0,84.96,84.96,0.02867680788040161,4366,22,0.5475643,-9.648726e-05,45056,40.58590793609619,180224,79.307556
0.00024612652,0.0,86.92,86.92,0.03129392862319946,4255,23,0.55333567,-0.0007485569,47104,42.51163911819458,188416,79.78246
8.7470646e-05,0.0,85.52,85.52,0.03127557039260864,4627,24,0.5507655,-0.00013425696,49152,44.28227400779724,196608,77.44057
